BASE 22 3  M = 132  ds = [ 1, 2, 3, 4, 6, 11, 12, 22, 33, 44, 66, 132 ]
#isotropic = 5 (2N-1 = 5)
#cosets = 288
#monomials = 132
MONO 126 [ 9, -3, -2, -3, -4, -2, 12, -1, 1, 7, 11, -24 ]
MONO 127 [ 9, -2, -3, -5, -5, -1, 15, -2, 1, 8, 12, -26 ]
MONO 128 [ 9, -2, -2, -5, -5, -2, 14, -2, 1, 9, 12, -26 ]
MONO 129 [ 9, -1, -5, -5, -1, -2, 12, -2, 2, 8, 11, -25 ]
MONO 130 [ 10, -4, -5, -3, -1, -2, 12, -2, 1, 8, 14, -27 ]
MONO 131 [ 10, -3, -4, -5, -4, 0, 15, -3, 0, 8, 13, -26 ]
MONO 132 [ 10, -1, -4, -5, -4, -3, 13, 1, 1, 7, 11, -25 ]
FORMC -2 [ <1, -5/132>, <2, 25/484>, <3, 3/484>, <4, -3/484>, <5, 25/132>, <6, 
11/18>, <7, -7/66>, <8, 21/44>, <9, -7/66>, <10, -647/132>, <11, 25/22>, <12, 
19/44>, <13, -3/121>, <14, 1/484>, <15, -2/11>, <16, 7/242>, <17, 1183/198>, 
<18, -14/33>, <19, -38/33>, <20, 27/44>, <21, 12211/792>, <22, -27/22>, <23, 
-2075/2178>, <24, -4915/968>, <25, 19/121>, <26, -24/121>, <27, -8419/594>, <28,
-17285/792>, <29, 37/18>, <30, -125/132>, <31, 65125/792>, <32, 1319/22>, <33, 
-97/33>, <34, -1541/132>, <35, 137/121>, <36, -17/44>, <37, 15799/1452>, <38, 
-168/121>, <39, -24889/792>, <40, 2015/198>, <41, -7885/352>, <42, 185/176>, 
<43, -34438/297>, <44, 956833/792>, <45, 1553/36>, <46, -38527/132>, <47, 
-1894777/52272>, <48, -376493/2178>, <49, 34021/2904>, <50, 3637/88>, <51, 
-61884155/4752>, <52, 34696349/9504>, <53, 149137/48>, <54, -1392565/1584>, <55,
-1754629/594>, <56, 16396379/17424>, <57, 23660/33>, <58, -3728107/17424>, <59, 
-932875/4356>, <60, 12587/242>, <61, -2625/484>, <62, 386/363>, <63, 
6087457/2904>, <64, -4181239/8712>, <65, 94284305/52272>, <66, -73263/176>, <67,
-71383867/104544>, <68, -12566317/11616>, <69, 2988877/17424>, <70, 
3960563/17424>, <71, 130120729/34848>, <72, -6087457/2904>, <73, 
-15476321/17424>, <74, 4181239/8712>, <75, 133345/1056>, <76, 86157263/52272>, 
<77, -406121/17424>, <78, -159222433/104544>, <79, -5717741/9504>, <80, 
-1703059/4356>, <81, 6664199/17424>, <82, 1001531/8712>, <83, 4607857/6534>, 
<84, -375899/2178>, <85, -5447103/1936>, <86, 1864217/2904>, <87, 
-31144153/104544>, <88, 506287/8712> ]
FORMC -1 [ <1, 41/1452>, <2, -3/484>, <5, 41/44>, <6, 37/198>, <8, -199/44>, 
<10, -289/66>, <15, -75/242>, <17, 287/99>, <19, 23/132>, <21, 6079/792>, <23, 
-109/4356>, <24, -4683/968>, <27, -1607/1188>, <28, -8975/792>, <31, 35113/792>,
<32, -553/44>, <35, -201/121>, <37, 7009/1452>, <39, 19663/792>, <41, 
-4117/1056>, <43, 142661/1188>, <44, -43285/72>, <47, 1543889/52272>, <48, 
731659/8712>, <51, 3766079/594>, <52, -17188957/9504>, <55, 439492/297>, <56, 
-1817797/4356>, <59, 235633/2178>, <61, 139/121>, <63, -1368913/1452>, <65, 
-21669035/26136>, <67, 38156711/104544>, <68, 14183035/34848>, <71, 
-20986859/11616>, <72, 1368913/1452>, <75, -405023/11616>, <76, 
-41465401/52272>, <78, 7756687/9504>, <79, 1715635/9504>, <83, -4718641/13068>, 
<85, 180805/144>, <87, 9837431/104544> ]
FORMC 9 [ <1, 3491/1452>, <2, -87/242>, <3, -39/242>, <4, -59/242>, <89, 
-15/121>, <90, 12/121>, <5, 521/66>, <6, 4193/99>, <7, -5095/198>, <8, 
13143/44>, <9, 51/11>, <10, -34207/66>, <91, 221/132>, <11, 29039/132>, <92, 
-50/33>, <12, -3811/132>, <93, -1171/44>, <94, 1233/44>, <13, -105/242>, <14, 
161/484>, <95, -13/484>, <15, -323/22>, <16, 3271/484>, <96, -49/242>, <17, 
130939/198>, <18, 21445/198>, <19, 332/33>, <97, -1418/33>, <20, 16969/396>, 
<21, 1230133/792>, <98, -985/132>, <22, 14413/72>, <99, -22243/264>, <23, 
-170279/2178>, <24, -632773/968>, <25, -1535/1089>, <26, -349847/2904>, <100, 
499/726>, <101, 45977/968>, <27, -131155/108>, <28, -2344865/792>, <29, 
-44273/396>, <30, -147283/264>, <31, 7655707/792>, <32, 25789/6>, <102, 
4999/132>, <103, 16371/88>, <33, 413863/264>, <34, 30347/132>, <104, -50487/88>,
