AVAIL = [ -2, -1, 8, 9, 10, 11, 12, 13, 14 ]
USED KEYS = [ -2, -1, 9, 10, 11, 12, 13, 14 ]
MONO 72 [ -185, 92, 1, 60, 61, -28, -30, -1, 2, 60, -29, -2 ]
MONO 73 [ -185, 92, 1, 61, 59, -31, -27, 1, -1, 63, -29, -3 ]
MONO 74 [ -185, 92, 1, 61, 62, -31, -31, 1, 0, 58, -25, -2 ]
MONO 75 [ -185, 92, 1, 61, 63, -31, -29, 1, -1, 59, -27, -3 ]
MONO 76 [ -185, 92, 1, 62, 59, -31, -27, 0, -1, 60, -29, 0 ]
MONO 77 [ -185, 93, 0, 60, 60, -29, -26, 0, -1, 59, -27, -3 ]
MONO 78 [ -185, 93, 0, 60, 61, -29, -31, 0, 1, 60, -28, -1 ]
MONO 79 [ -185, 93, 0, 60, 61, -27, -30, 0, 0, 60, -29, -2 ]
MONO 80 [ -185, 93, 0, 61, 60, -31, -31, 1, 2, 64, -30, -3 ]
MONO 81 [ -185, 93, 0, 61, 60, -30, -29, 0, 0, 64, -31, -2 ]
MONO 82 [ -185, 93, 0, 61, 62, -31, -32, 1, 1, 58, -23, -4 ]
MONO 83 [ -185, 93, 0, 61, 64, -31, -33, 1, 2, 60, -28, -3 ]
MONO 84 [ -185, 93, 0, 61, 64, -30, -31, 0, 0, 60, -29, -2 ]
MONO 85 [ -185, 93, 0, 62, 61, -31, -31, 0, 1, 62, -30, -1 ]
MONO 86 [ -185, 94, -1, 60, 61, -29, -31, 2, 1, 60, -29, -2 ]
MONO 87 [ -185, 94, -1, 60, 61, -29, -30, 0, 2, 60, -28, -3 ]
MONO 88 [ -185, 94, -1, 63, 61, -32, -30, 2, 0, 59, -27, -3 ]
MONO 89 [ -185, 95, 0, 60, 61, -29, -30, 0, 0, 60, -29, -2 ]
MONO 90 [ -184, 91, 1, 58, 60, -24, -30, -1, 1, 60, -28, -3 ]
MONO 91 [ -184, 92, 0, 58, 60, -25, -29, 0, 0, 60, -29, -2 ]
MONO 92 [ -184, 92, 0, 60, 60, -29, -30, 0, 1, 62, -30, -1 ]
MONO 93 [ -184, 92, 0, 60, 60, -28, -28, -1, -1, 62, -31, 0 ]
MONO 94 [ -184, 92, 0, 60, 61, -29, -30, 0, 0, 63, -30, -2 ]
MONO 95 [ -184, 92, 0, 60, 65, -29, -32, 0, 0, 59, -28, -2 ]
MONO 96 [ -184, 92, 0, 61, 60, -30, -29, 0, 0, 59, -26, -2 ]
MONO 97 [ -184, 92, 0, 61, 61, -31, -31, 1, 1, 60, -25, -4 ]
MONO 98 [ -184, 92, 0, 61, 61, -31, -30, 3, 0, 60, -28, -3 ]
MONO 99 [ -184, 92, 0, 62, 62, -31, -31, 0, 0, 58, -25, -2 ]
MONO 100 [ -184, 93, -1, 61, 61, -33, -31, 5, 1, 60, -28, -3 ]
MONO 101 [ -184, 96, -2, 61, 61, -31, -31, 1, 1, 60, -29, -2 ]
MONO 102 [ -183, 90, 1, 56, 60, -19, -30, -4, 1, 61, -30, -2 ]
MONO 103 [ -182, 91, 1, 60, 60, -30, -29, 1, 0, 60, -29, -2 ]
MONO 104 [ -182, 95, -2, 60, 60, -30, -30, 0, 0, 60, -30, 0 ]
MONO 105 [ -181, 91, 0, 61, 60, -31, -31, 1, 2, 60, -28, -3 ]
MONO 106 [ -181, 91, 0, 61, 60, -30, -29, 0, 0, 60, -29, -2 ]
MONO 107 [ -180, 90, 0, 59, 59, -28, -28, 0, 0, 60, -29, -2 ]
MONO 108 [ -180, 90, 0, 60, 59, -30, -29, 1, 1, 57, -24, -4 ]
MONO 109 [ -180, 90, 1, 60, 59, -30, -31, 0, 2, 57, -22, -5 ]
MONO 110 [ -180, 91, -1, 59, 59, -31, -31, 3, 3, 60, -28, -3 ]
MONO 111 [ -180, 91, 0, 59, 59, -29, -29, 0, 0, 60, -28, -2 ]
MONO 112 [ -180, 91, 0, 60, 58, -30, -28, 0, 0, 56, -24, -2 ]
MONO 113 [ -180, 91, 0, 60, 59, -31, -29, 3, 0, 57, -26, -3 ]
MONO 114 [ -180, 92, -1, 58, 55, -28, -19, 0, -4, 59, -30, -1 ]
MONO 115 [ -180, 92, -1, 58, 59, -28, -29, 0, 0, 55, -20, -5 ]
MONO 116 [ -180, 92, -1, 59, 57, -30, -23, 1, -2, 58, -28, -2 ]
MONO 117 [ -180, 92, -1, 59, 58, -30, -28, 1, 0, 59, -29, 0 ]
MONO 118 [ -179, 88, 2, 57, 57, -25, -26, -2, -1, 59, -30, 1 ]
MONO 119 [ -179, 89, 0, 57, 57, -26, -27, 0, 1, 59, -29, -1 ]
MONO 120 [ -179, 89, 0, 57, 58, -26, -27, 0, 0, 60, -29, -2 ]
MONO 121 [ -179, 89, 0, 59, 55, -30, -21, 2, -3, 59, -27, -3 ]
MONO 122 [ -179, 89, 1, 57, 57, -23, -26, -2, -1, 59, -29, -2 ]
MONO 123 [ -179, 89, 1, 58, 58, -27, -28, -1, 0, 57, -23, -4 ]
MONO 124 [ -179, 89, 1, 58, 59, -30, -29, 4, 0, 58, -27, -3 ]
MONO 125 [ -179, 89, 1, 58, 59, -28, -31, 0, 4, 58, -27, -3 ]
MONO 126 [ -179, 89, 1, 58, 59, -28, -29, 0, 0, 58, -29, 1 ]
MONO 127 [ -179, 89, 1, 58, 59, -27, -29, -1, 2, 58, -28, -2 ]
MONO 128 [ -179, 89, 1, 59, 57, -30, -26, 1, -1, 61, -28, -3 ]
MONO 129 [ -179, 89, 1, 59, 60, -30, -30, 1, 0, 56, -24, -2 ]
MONO 130 [ -179, 89, 1, 59, 61, -30, -28, 1, -1, 57, -26, -3 ]
MONO 131 [ -179, 89, 1, 60, 57, -30, -26, 0, -1, 58, -28, 0 ]
MONO 132 [ -179, 90, 0, 58, 58, -28, -25, 0, -1, 57, -26, -3 ]
MONO 133 [ -179, 90, 0, 58, 59, -28, -30, 0, 1, 58, -27, -1 ]
MONO 134 [ -179, 90, 0, 58, 59, -26, -29, 0, 0, 58, -28, -2 ]
MONO 135 [ -179, 90, 0, 59, 58, -30, -30, 1, 2, 62, -29, -3 ]
MONO 136 [ -179, 90, 0, 59, 58, -29, -28, 0, 0, 62, -30, -2 ]
MONO 137 [ -179, 90, 0, 59, 60, -30, -31, 1, 1, 56, -22, -4 ]
