AVAIL = [ -2, -1, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66 ]
USEDKEYS -2,-1,
MONO 52 [ -1, 2, 1, -1, 0, -2, -1, -1, 3, 2, -1, 2, 2, -2, 1, 0, -4, 2, -5, 6, 0, 10, 12, -24 ]
MONO 53 [ -1, 2, 1, -1, 0, -2, -1, -1, 3, 3, -1, 2, 2, -2, 1, 0, -4, 2, -5, 5, 0, 9, 13, -24 ]
MONO 54 [ -1, 2, 1, -1, 0, -2, 0, 0, 3, 0, -1, 0, -1, 0, 2, 0, 1, 2, -3, 3, 0, 8, 11, -23 ]
MONO 55 [ -1, 2, 1, -1, 0, -2, 0, 2, 3, 0, 1, -1, 1, 0, -3, 0, -2, 4, -5, 4, 0, 9, 13, -24 ]
MONO 56 [ -1, 2, 1, -1, 0, -2, 1, 1, 2, -2, 0, -1, -1, 2, -2, 1, 0, 4, -6, 4, -1, 11, 14, -25 ]
MONO 57 [ -1, 2, 1, -1, 0, -1, -2, 1, 1, 5, -2, -1, 1, -2, 3, 1, -3, 1, -4, 3, 0, 5, 8, -14 ]
MONO 58 [ -1, 2, 1, -1, 0, -1, -1, -1, 1, 2, -1, 2, 2, -2, 2, 0, -3, 0, -3, 4, 0, 6, 7, -14 ]
MONO 59 [ -1, 2, 1, -1, 0, -1, -1, -1, 1, 3, -1, 2, 2, -2, 2, 0, -3, 0, -3, 3, 0, 5, 8, -14 ]
MONO 60 [ -1, 2, 1, -1, 0, -1, 0, 0, 1, 0, -1, 0, -1, 0, 3, 0, 2, 0, -1, 1, 0, 4, 6, -13 ]
MONO 61 [ -1, 2, 1, -1, 0, -1, 0, 2, 1, 0, 1, -1, 1, 0, -2, 0, -1, 2, -3, 2, 0, 5, 8, -14 ]
MONO 62 [ -1, 2, 1, -1, 0, -1, 1, 1, 0, -2, 0, -1, -1, 2, -1, 1, 1, 2, -4, 2, -1, 7, 9, -15 ]
MONO 63 [ -1, 2, 1, -1, 1, -3, -1, -1, 4, 3, -1, 0, 0, -2, -1, -1, -3, 5, -2, 6,0, 8, 12, -24 ]
MONO 64 [ -1, 2, 1, -1, 1, -2, -1, -1, 2, 3, -1, 0, 0, -2, 0, -1, -2, 3, 0, 4, 0, 4, 7, -14 ]
MONO 65 [ -1, 2, 1, -1, 1, -2, -1, -1, 3, 2, -2, 1, 1, -1, 2, -1, -3, 2, -3, 5, 2, 8, 10, -23 ]
MONO 66 [ -1, 2, 1, -1, 1, -1, -1, -1, 1, 2, -2, 1, 1, -1, 3, -1, -2, 0, -1, 3, 2, 4, 5, -13 ]
MONO 67 [ -1, 2, 2, -1, 0, -2, 0, -1, 2, -1, -1, 2, 0, 0, 0, 0, 0, 3, -2, 4, 0, 7, 11, -23 ]
MONO 68 [ -1, 2, 2, -1, 0, -1, 0, -1, 0, -1, -1, 2, 0, 0, 1, 0, 1, 1, 0, 2, 0, 3, 6, -13 ]
MONO 69 [ -1, 3, 1, -1, 2, -2, -1, -2, 2, 3, -1, 1, 0, -2, 0, 0, -1, 3, -3, 4, 0, 8, 11, -23 ]
MONO 70 [ -1, 3, 1, -1, 2, -1, -1, -2, 0, 3, -1, 1, 0, -2, 1, 0, 0, 1, -1, 2, 0,4, 6, -13 ]
MONO 71 [ -1, 3, 1, -1, 3, -2, 1, -1, 2, -1, -1, -1, 0, 1, -2, -1, -2, 5, -3, 4,0, 8, 13, -24 ]
MONO 72 [ -1, 3, 1, -1, 3, -1, 1, -1, 0, -1, -1, -1, 0, 1, -1, -1, -1, 3, -1, 2,0, 4, 8, -14 ]
MONO 73 [ -1, 3, 2, -1, 0, -3, 1, 0, 3, 0, 0, 0, -1, -1, -2, -1, -2, 4, -3, 5, 2, 8, 12, -24 ]
MONO 74 [ -1, 3, 2, -1, 0, -2, 1, 0, 1, 0, 0, 0, -1, -1, -1, -1, -1, 2, -1, 3, 2, 4, 7, -14 ]
MONO 75 [ -1, 3, 2, 0, 0, -2, 0, 0, 1, 0, 0, -1, 0, -1, -3, 1, -2, 6, -6, 5, -2,10, 17, -26 ]
MONO 76 [ -1, 3, 2, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, -1, -2, 1, -1, 4, -4, 3, -2, 6, 12, -16 ]
MONO 77 [ 0, -1, -2, 2, 0, 4, 0, 0, -1, 2, 1, -1, 1, -2, -2, 0, -3, 5, -5, 5, 0,10, 12, -24 ]
MONO 78 [ 0, -1, -2, 2, 0, 4, 2, 1, -1, -1, 2, -2, -1, -1, -5, -1, 0, 7, -3, 4, 0, 9, 12, -24 ]
