BASE 6 107 9
PP 13 oo 15 6
PP 13 oo 14 173/3
PP 13 oo 13 46/3
PP 13 oo 12 23/6
PP 13 oo 11 278/3
PP 13 oo 10 -160
PP 13 oo 9 323/6
PP 13 oo 8 -14
PP 13 oo 7 2
PP 13 oo 6 -10
PP 13 oo 4 -202/3
PP 13 oo 3 -667/6
PP 13 oo 2 4
PP 13 oo 1 53/3
VERD 13 oo 330 105 6 2 NONINTEGRAL
PP 14 oo 642 2
PP 14 oo 641 5/2
PP 14 oo 640 112/15
PP 14 oo 639 9
PP 14 oo 638 -26
PP 14 oo 632 -16
PP 14 oo 631 2
PP 14 oo 630 3
PP 14 oo 629 -32
PP 14 oo 626 -111/2
PP 14 oo 615 4
PP 14 oo 603 1
PP 14 oo 585 1
PP 14 oo 496 3
PP 14 oo 448 1
PP 14 oo 119 -1799/15
PP 14 oo 118 59/5
PP 14 oo 117 178/5
PP 14 oo 116 59/5
PP 14 oo 112 4
PP 14 oo 111 -209/15
PP 14 oo 110 1492/15
PP 14 oo 108 -55/3
PP 14 oo 107 28
PP 14 oo 105 -2173/30
PP 14 oo 102 -1141/30
PP 14 oo 101 91/2
PP 14 oo 100 -449/5
PP 14 oo 99 -1721/30
PP 14 oo 92 97/6
PP 14 oo 90 4247/30
PP 14 oo 89 -1391/30
PP 14 oo 88 -3
PP 14 oo 87 271/5
PP 14 oo 86 -16/15
PP 14 oo 85 100/3
PP 14 oo 84 3
PP 14 oo 83 -1553/30
PP 14 oo 81 -1361/30
PP 14 oo 79 -827/15
PP 14 oo 77 -19/2
PP 14 oo 76 764/15
PP 14 oo 75 -341/5
PP 14 oo 74 12
PP 14 oo 72 12
PP 14 oo 70 -3
PP 14 oo 69 -1519/30
PP 14 oo 68 37/2
PP 14 oo 67 -1
PP 14 oo 65 -17/2
PP 14 oo 64 1846/15
PP 14 oo 63 4
PP 14 oo 62 -11/10
PP 14 oo 61 -217/5
PP 14 oo 60 3
PP 14 oo 59 99/2
PP 14 oo 57 1441/15
PP 14 oo 56 71/6
PP 14 oo 55 -4
PP 14 oo 54 2
PP 14 oo 53 161/30
PP 14 oo 52 -616/15
PP 14 oo 50 -89/2
PP 14 oo 49 -3176/15
PP 14 oo 48 499/3
PP 14 oo 47 -114/5
PP 14 oo 45 1
PP 14 oo 44 227/5
PP 14 oo 42 -3629/30
PP 14 oo 41 -1493/15
PP 14 oo 40 2546/15
PP 14 oo 39 -58/3
PP 14 oo 38 -92
PP 14 oo 37 -7/3
PP 14 oo 36 -2591/30
PP 14 oo 35 -2561/30
PP 14 oo 34 583/15
PP 14 oo 33 169/6
PP 14 oo 32 53
PP 14 oo 31 1
PP 14 oo 30 334/3
PP 14 oo 29 1849/30
PP 14 oo 28 -1
PP 14 oo 27 -1751/30
PP 14 oo 26 59
PP 14 oo 25 1042/5
PP 14 oo 24 -8
PP 14 oo 23 229/15
PP 14 oo 22 3
PP 14 oo 21 -3
PP 14 oo 20 -73/2
PP 14 oo 19 -103/5
PP 14 oo 18 -8
PP 14 oo 17 37
PP 14 oo 16 88/3
PP 14 oo 15 -5
PP 14 oo 14 91/3
PP 14 oo 13 -12
PP 14 oo 12 -77/6
PP 14 oo 11 276/5
PP 14 oo 10 -1816/15
PP 14 oo 9 683/30
PP 14 oo 8 10
PP 14 oo 6 -2
PP 14 oo 5 -17
PP 14 oo 4 -40
PP 14 oo 3 -853/10
PP 14 oo 2 -15/2
PP 14 oo 1 15
VERD 14 oo 642 109 30 3 NONINTEGRAL
BASEVERD 6 107 oo:NONINTEGRAL all:NONINTEGRAL
DONE
