[SIG] 34 5 sgn=1   diag=[ -15322, 1700/7661, -17 ] det=57800 signature=(1,2)
[DIFF] 34 5 sgn=-1  m=161  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=162  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=166  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=168  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=169  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=171  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=172  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=174  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=178  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=179  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=183  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=185  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=186  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=188  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=189  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=191  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=194  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=195  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=196  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=200  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=202  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=203  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=205  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=206  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=208  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=210  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=212  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=213  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=217  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=219  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=220  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=222  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=223  finite_fail=[ 17 ] arch_fail=false
