[SIG] 6 29 sgn=1   diag=[ -1302, 290/217, -174/5 ] det=60552 signature=(1,2)
[DIFF] 6 29 sgn=1   m=187  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=190  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=193  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=196  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=198  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=199  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=202  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=205  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=206  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=208  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=211  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=214  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=217  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=220  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=222  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=223  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=224  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=225  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=226  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=229  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=232  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=235  finite_fail=[ 3 ] arch_fail=false
