[SIG] 6 19 sgn=1   diag=[ -262, -114/131, 114 ] det=25992 signature=(1,2)
[DIFF] 6 19 sgn=-1  m=113  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=114  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=116  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=119  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=122  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=125  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=126  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=128  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=130  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=131  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=134  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=136  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=137  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=140  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=143  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=146  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=149  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=152  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=153  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=155  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=158  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=161  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=162  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=164  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=167  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=170  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=173  finite_fail=[ 3 ] arch_fail=false
