[DIFF] 10 13 sgn=1   m=213  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=217  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=218  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=222  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=223  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=224  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=227  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=228  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=232  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=233  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=237  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=238  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=242  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=243  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=247  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=248  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=252  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=253  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=254  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=257  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=258  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=262  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=263  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=267  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=268  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=270  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=272  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=273  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=277  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=278  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=282  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=283  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=286  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=287  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=288  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=292  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=293  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=297  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=298  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=300  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=302  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=303  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=307  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=308  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=312  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=313  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=317  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=318  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=322  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=323  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=325  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=327  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=328  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=332  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=333  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=334  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=337  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=338  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=342  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=343  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=347  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=348  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=350  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=352  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=353  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=357  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=358  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=362  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=363  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=366  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=367  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=368  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=372  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=373  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=376  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=377  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=378  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=382  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=383  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=387  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=388  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=392  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=393  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=397  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=398  finite_fail=[ 2, 5 ] arch_fail=false
[SIG] 10 13 sgn=-1  diag=[ 3386, 21580/1693, -65/83 ] det=-33800 signature=(2,1)
[DIFF] 10 13 sgn=-1  m=2    finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=3    finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=7    finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=8    finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=12   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=13   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=17   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=18   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=22   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=23   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=27   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=28   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=32   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=33   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=34   finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=37   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=38   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=42   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=43   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=47   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=48   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=50   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=52   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=53   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=57   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=58   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=62   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=63   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=66   finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=67   finite_fail=[ 5 ] arch_fail=false
